pwm,vbat[V],rpm1,rpm2,rpm3,rpm4,thrust[g]
46193,3.974,24701,25115,24958,24630,39
25420,4.053,16460,16750,16699,16615,17
60979,3.826,30959,31562,31446,31545,64
63272,3.774,31897,32275,32068,32414,68
44886,3.916,24048,24252,24222,24242,37
30577,3.98,18501,18697,18467,18844,21
20259,4.022,14265,14475,14388,14573,13
62453,3.779,31298,31595,31545,31595,66
55718,3.821,28653,28873,28915,28999,54
32459,3.948,19035,19267,18969,19361,22
55801,3.816,28530,28818,28873,28818,53
34013,3.932,19588,19828,19646,19880,24
52056,3.832,26966,27112,27198,27051,47
22919,3.969,15255,15491,15360,15503,15
58033,3.784,29615,29658,29644,29658,57
54289,3.8,27842,28050,28129,28050,51
25573,3.937,16220,16420,16353,16506,16
55143,3.795,28076,28368,28409,28328,52
23908,3.943,15600,15810,15515,15902,15
49151,3.832,25434,25630,25531,25553,42
37061,3.885,20442,20768,20463,20703,27
60132,3.731,30000,30287,30241,30333,59
46750,3.821,24213,24671,24549,24459,38
40578,3.848,21637,22164,21994,22002,30
30779,3.885,18165,18552,18371,18331,21
60533,3.705,30000,29513,29469,30287,60
65299,3.652,31413,31595,31612,31545,66
35305,3.826,19646,20033,19646,19953,24
39196,3.816,21660,21606,21660,21375,28
63921,3.636,31298,31446,31496,31512,65
50635,3.737,25728,25873,25740,25828,42
36909,3.8,20256,20547,20290,20435,26
49929,3.737,25305,25564,25608,25597,42
54571,3.7,27535,27688,28208,27881,49
44539,3.758,22839,23103,23130,23076,34
51611,3.716,26041,26327,26143,26007,44
20797,3.842,14074,14306,14409,14289,21
52769,3.705,26572,27611,26560,26607,46
24393,3.826,15404,15294,15212,15686,15
44896,3.753,23032,23464,23237,23068,34
60060,3.636,29469,29556,29776,29747,57
40768,3.753,21520,21826,21606,21567,29
28673,3.795,17167,17346,17256,17316,18
22171,3.826,14499,14716,14475,14749,13
52673,3.689,26466,26525,26431,26385,45
39758,3.753,21030,21398,21208,21104,28
62902,3.584,30379,30816,30534,30627,61
42704,3.721,21994,22296,22189,22271,31
49466,3.684,24701,25020,24989,24948,40
26039,3.779,15839,16137,15995,16242,16
56858,3.631,27764,28208,28155,28288,51
28603,3.763,16685,17059,16868,16830,18
47318,3.689,23687,24067,24038,23923,36
54807,3.631,26893,27149,27112,27161,47
28023,3.758,16474,16825,16755,16769,18
20173,3.79,13455,13661,13651,13661,12
57678,3.61,27881,27881,28503,27675,52
55122,3.621,26857,27260,27347,27186,48
20076,3.768,13474,13642,13623,13683,12
29554,3.747,17016,17316,17346,17351,18
47700,3.673,23752,24154,23640,23866,37
24031,3.758,14880,15132,14880,15197,14
22490,3.768,14241,14609,14343,14520,13
30304,3.742,17211,17610,17673,17569,19
54649,3.621,26666,27002,27112,26845,47
47149,3.658,23355,23866,23724,23612,36
23936,3.742,14847,15132,14847,15163,14
55482,3.6,26857,27198,27223,27088,48
31184,3.716,17543,17942,17783,17804,20
29614,3.721,16958,17271,17211,17182,18
42679,3.673,21590,21826,21778,21637,30
47782,3.642,23492,23847,23828,23483,36
34381,3.695,18627,18981,18714,18767,22
51045,3.621,24885,25167,24711,24916,40
53870,3.589,26315,26501,26281,26121,45
25969,3.71,15612,15940,15552,15852,16
50033,3.615,24580,24772,24701,24429,39
24337,3.716,15052,15224,14947,15193,14
65026,3.494,30487,30612,30753,30706,61
41190,3.642,20964,21329,21074,21141,28
64671,3.483,30196,30534,30534,30643,61
25531,3.689,15499,15760,15475,15723,15
64552,3.478,29955,30000,30581,30503,61
34237,3.652,18552,18802,18575,18750,22
60823,3.504,28860,29041,29126,29126,55
33942,3.647,18518,18838,18467,18785,22
28358,3.673,16528,16811,16433,16447,17
43872,3.621,21873,22296,22164,22042,31
55422,3.547,26785,26893,26966,26857,47
54300,3.547,26269,26362,26478,26443,45
63551,3.462,31136,30441,30472,30241,59
53252,3.536,25773,25115,26041,25862,43
28635,3.647,16583,16741,16570,16797,17
29932,3.652,17045,17316,17152,17251,18
23366,3.679,14659,14892,14648,14792,13
20816,3.689,13568,13767,13726,13733,12
31813,3.658,17657,17899,17878,17889,20
22824,3.684,14357,14591,14454,14496,13
63389,3.468,29970,30120,30120,30090,60
64576,3.446,30959,30943,30864,30333,60
38056,3.605,19887,20107,19993,20053,25
22103,3.663,14134,14385,14194,14295,13
43081,3.6,21567,21826,21826,21739,30
24775,3.658,15003,15201,15026,15333,14
37528,3.621,19455,19261,19633,19756,24
52702,3.541,25273,25662,25608,25305,41
20683,3.663,13608,13708,13805,13446,11
33717,3.631,18132,18897,18371,18248,21
57258,3.504,27309,27497,27497,27422,49
29813,3.631,16910,17147,16925,17118,18
25310,3.652,15236,15368,15120,15384,15
48506,3.563,23631,23771,23837,23464,36
45038,3.573,22026,22321,22421,21978,31
59430,3.478,28129,28288,28328,28129,52
22736,3.642,14134,14423,14295,14245,13
35582,3.61,18820,19077,18802,18826,22
54430,3.515,26041,26246,26212,26490,44
52994,3.515,25337,25531,25630,25273,42
21271,3.642,13623,13796,13904,13729,12
35804,3.605,18951,19132,19059,18856,22
51333,3.531,24610,24885,24916,24429,39
36347,3.594,18879,19157,18969,18963,23
26846,3.626,15576,15653,15710,15793,15
29518,3.626,16611,16741,16759,16797,17
62066,3.446,29069,29382,29382,29168,55
58692,3.462,28708,28288,28288,27868,50
41546,3.557,20746,21097,20927,20898,28
34332,3.589,18365,18593,18433,18348,22
27644,3.615,15839,16159,16021,16021,16
33517,3.6,17942,18264,18083,17947,20
49499,3.531,23828,24125,23952,23640,37
54298,3.494,25940,25974,26086,25728,43
27121,3.605,15801,15991,15748,15902,16
61001,3.436,28530,28915,28901,28694,53
44148,3.541,21582,21994,21637,21778,30
48390,3.52,22753,22997,23382,23246,35
45153,3.536,21873,22197,22026,21953,31
37682,3.568,19398,19762,19298,19379,24
55416,3.473,26315,26490,26281,26269,44
27085,3.594,15752,15686,15686,15902,16
53466,3.489,25466,25531,25542,25305,42
24728,3.6,14880,14936,14869,14892,14
45856,3.531,22346,22371,22396,22181,32
61128,3.42,28355,28530,28530,28503,53
32596,3.563,17704,17835,17704,17830,20
55967,3.452,26525,26431,26385,26525,45
22816,3.594,14255,14326,14204,14278,13
36053,3.557,18897,18933,18650,18867,23
58926,3.431,27764,26702,27688,27726,50
24727,3.584,14903,14947,14713,14892,14
63193,3.378,29339,29368,29426,29211,56
50538,3.468,24193,24340,24183,23809,37
31673,3.552,17421,17548,17301,17406,19
24150,3.578,14662,14803,14548,14713,14
50188,3.483,24067,24154,24183,23752,37
55747,3.431,26143,26327,26396,26098,44
42819,3.499,21060,21314,21111,20862,28
22750,3.573,14012,14144,14031,13992,13
60041,3.394,27855,27958,27932,27739,51
27311,3.547,15702,15852,15637,15881,16
59070,3.388,27535,27459,27334,27272,49
28914,3.531,16203,16295,16189,16326,17
23914,3.557,14371,14552,14378,14381,14
29356,3.547,16216,16393,16393,16438,17
44419,3.483,21398,21497,21684,21329,29
57994,3.383,26797,26905,26797,26821,47
38664,3.478,19474,19646,19392,19398,24
