pwm,vbat[V],rpm1,rpm2,rpm3,rpm4,thrust[g]
32521,3.89,18732,18969,18750,18697,22
59612,3.504,28328,28653,28612,28116,53
34934,3.79,19373,20442,19749,19379,23
41604,3.716,21420,21873,20442,21466,29
38777,3.737,20401,20855,20533,20338,26
47516,3.631,23464,23894,23715,23246,35
57969,3.436,27186,27535,27372,27027,48
21031,3.832,14021,14234,14184,14021,12
36114,3.726,19132,19743,19531,19531,24
55686,3.468,26350,26714,26572,26121,45
21877,3.816,14702,14552,14475,14385,13
37606,3.7,20696,20208,20168,19756,24
21320,3.832,14174,14381,14245,14114,12
35538,3.726,19317,19569,19379,19187,23
49792,3.568,24125,24580,24539,23875,38
61884,3.33,28208,28530,28571,27919,53
53205,3.452,25020,25542,25434,25273,40
45148,3.557,22172,22573,21754,21961,31
23461,3.753,14713,15007,14892,14818,13
50671,3.515,24067,24640,24732,23980,38
50754,3.499,24077,24610,24671,23913,38
29966,3.695,16741,17467,17457,17094,18
41341,3.615,20725,21238,21238,20746,27
59688,3.351,27372,27816,27726,27235,49
43339,3.557,21352,21754,21731,21149,29
41793,3.578,20855,21216,21238,21637,28
49279,3.499,23492,23885,23980,23130,36
37456,3.61,19474,19867,19788,19329,23
60483,3.32,27384,27855,27855,27173,50
56082,3.362,25773,26281,26281,25466,43
56449,3.351,25828,26143,26327,25553,43
36221,3.578,19005,19261,19261,18891,22
64213,3.204,28449,28873,28846,28476,54
60841,3.246,27112,27535,27573,26929,48
35739,3.557,18697,19035,18826,18662,22
64750,3.188,25940,28860,28409,27247,54
40307,3.51,20174,20554,20380,20127,26
22914,3.652,14309,14527,14559,14381,13
41829,3.536,20993,21208,20942,20869,27
35732,3.584,18861,19077,18873,18732,22
32173,3.61,17528,17867,17798,17533,20
44430,3.52,21543,21994,21802,21443,30
31402,3.615,17236,17610,17502,17296,19
21012,3.684,13501,13866,13767,13504,12
26493,3.658,15616,15580,15894,15932,16
33164,3.615,17867,18248,18148,18181,20
64937,3.235,28818,29168,29083,28901,55
22306,3.642,14101,14265,14228,14316,13
50130,3.441,23668,24019,24009,23584,37
51752,3.404,24154,24479,24529,24106,38
41278,3.499,20338,20696,20569,20442,27
48148,3.436,22658,23076,23157,22761,33
39605,3.51,19769,20107,20093,19828,25
37868,3.526,19175,19518,19404,19305,24
34633,3.552,18110,18564,18467,18315,21
20977,3.642,13303,13540,13654,13455,12
43997,3.494,21171,21420,21420,21149,29
49026,3.431,23032,23382,23382,22857,34
62960,3.214,27739,28089,28103,27649,51
64456,3.151,27881,28395,28422,27894,52
31846,3.515,17059,17361,17436,17406,19
40827,3.462,19993,20297,20297,20020,26
42301,3.457,20422,20905,19736,20380,27
50631,3.378,23328,23659,23715,23157,35
37569,3.483,18802,19150,19132,18969,23
