thrust[g],pwm,vbat[V],rpm1,rpm2,rpm3,rpm4
24,10000,7.477,0,0,0,0
60,15000,7.398,0,0,0,0
110,20000,7.279,0,0,0,0
165,25000,7.12,0,0,0,0
215,30000,6.922,0,0,0,0
