pwm,vbat[V],rpm1,rpm2,rpm3,rpm4
49119,3.151,18610,18975,18856,19730
49119,3.161,18820,18832,18927,19808
49119,3.156,18732,18750,18767,19672
49119,3.151,18645,18674,18656,19467
49119,3.151,18750,18691,18820,19524
11679,3.594,7884,7838,7928,7824
11679,3.6,7706,7736,7720,7537
11679,3.6,7651,7804,7683,7535
11679,3.6,7566,7681,7639,7616
11679,3.605,7523,7631,7666,7580
57124,2.987,20682,20855,20920,21921
57124,2.998,20725,20604,21126,21826
57124,2.992,20855,20422,21082,21754
57124,2.987,20768,20352,21030,21590
57124,2.987,20725,20332,21008,21543
57082,2.982,20746,20263,20711,21201
57082,2.982,20703,20229,20654,21089
57082,2.982,20833,20318,20790,20979
57082,2.977,20639,20236,20725,21015
57082,2.966,20359,20120,20611,21097
63655,2.707,21375,20818,21420,21818
63655,2.702,21037,20818,21375,21754
63655,2.702,21261,20797,21261,21747
63655,2.713,21375,20818,21344,21865
63655,2.707,21306,20790,21398,21818
39078,3.072,15483,15463,15243,15294
39078,3.087,15451,15475,15286,15321
39078,3.098,15548,15540,15345,15306
39078,3.103,15487,15604,15286,15306
39078,3.109,15552,15629,15317,15372
18878,3.425,10249,10252,10281,10259
18878,3.436,10211,10148,10136,10207
18878,3.441,10190,10087,10133,10233
18878,3.446,10291,10171,10223,10193
18878,3.452,10323,10244,10185,10221
65401,2.718,22018,21778,22010,23174
65401,2.697,21754,21613,21778,22883
65401,2.692,21443,21276,21897,22590
65401,2.686,21754,21193,21786,22573
65401,2.681,21731,21134,21747,22388
33502,3.251,14289,14340,14347,14464
33502,3.246,14285,14333,14278,14457
33502,3.251,14398,14409,14295,14450
33502,3.256,14475,14367,14265,14374
33502,3.262,14295,14374,14234,14323
10308,3.526,7238,7169,7233,7088
10308,3.531,7001,6988,6978,6728
10308,3.536,6934,6993,6971,6718
10308,3.541,6944,7030,7029,6760
10308,3.541,6918,6939,6927,6776
47872,3.066,17996,17980,17931,17905
47872,3.056,17915,17862,18012,17905
47872,3.051,17809,17820,17804,17788
47872,3.045,17626,17657,17704,17673
47872,3.04,17673,17652,17798,17631
61675,2.771,20942,20625,20942,22018
61675,2.765,20840,20394,20927,21865
61675,2.76,20833,20352,20898,21770
61675,2.75,20986,20297,20942,21543
61675,2.744,20949,20318,20811,21497
15181,3.441,9062,9023,9068,8913
15181,3.446,8861,8949,9018,8653
15181,3.452,8867,8891,9064,8769
15181,3.462,8860,8895,9064,8755
15181,3.468,8900,8916,9077,8807
14844,3.478,8676,8748,8863,8573
14844,3.478,8684,8748,8750,8643
14844,3.483,8695,8775,8782,8650
14844,3.483,8695,8769,8809,8654
14844,3.489,8700,8766,8789,8699
54461,2.929,19474,19531,19672,20540
54461,2.913,19342,19230,19685,20449
54461,2.897,19298,19181,19379,20318
54461,2.892,19005,19059,19411,20215
54461,2.887,18981,18933,19224,20208
45496,3.04,16811,17016,17045,16910
45496,3.035,16783,17079,17001,17103
45496,3.035,16858,17079,16982,17108
45496,3.035,16887,17016,17001,17059
45496,3.029,16783,17059,17001,16992
41537,3.087,15995,16176,16017,16155
41537,3.087,15927,16216,15978,16189
41537,3.087,15877,16203,15927,16163
41537,3.087,15894,16124,15932,16124
41537,3.087,15927,16107,15940,16163
39905,3.109,15451,15864,15588,15735
39905,3.109,15503,15852,15420,15625
39905,3.109,15467,15860,15420,15645
39905,3.109,15511,15852,15420,15629
39905,3.103,15527,15748,15479,15612
56022,2.818,19298,19348,19342,20456
56022,2.808,19267,19187,19249,20270
56022,2.802,19243,19059,19212,20215
56022,2.792,19243,18951,19096,20154
56022,2.787,19132,18791,19224,20033
65393,2.549,20993,20491,20986,21723
65393,2.517,20725,20318,20775,21246
65393,2.512,20927,20208,20661,21023
65393,2.507,20725,20174,20611,21008
65393,2.507,20554,20140,20554,20986
0,3.468,3786,3559,3803,3794
0,3.489,1101,1018,1250,1277
0,3.504,0,0,0,0
