pwm,vbat[V],rpm1,rpm2,rpm3,rpm4
58639,3.124,8807,22857,22246,23264
46286,3.409,18927,19588,19059,19986
27833,3.7,13924,14330,14041,14084
52363,3.241,20359,21037,20442,21497
37862,3.531,16447,17098,16671,16787
26820,3.689,13559,13863,13736,13654
58147,3.082,8710,22313,21953,22761
22862,3.721,12219,12586,12297,12399
26286,3.589,13100,13395,13186,13259
51051,3.246,20026,20484,20053,20986
36706,3.51,16098,16547,16286,16216
30421,3.605,14405,14844,14563,14527
55409,3.161,14134,21543,20920,22197
45893,3.362,18433,19077,18621,19537
24190,3.663,12515,12817,12610,12652
24797,3.668,12719,13012,12801,12864
37527,3.51,16260,16830,16393,16411
36438,3.52,16137,16538,16068,16133
56042,3.156,4242,21707,21352,22123
51961,3.241,20154,20646,20154,21037
26769,3.621,13446,13676,13383,13377
50660,3.272,19769,20373,19867,20782
40828,3.436,17001,17497,17191,17482
51597,3.23,5004,20442,19926,20957
52113,3.214,6760,20484,20154,20986
52204,3.209,13431,20401,19986,20920
51159,3.23,9933,20188,19867,20732
35174,3.483,15459,16008,15515,15544
