pwm,vbat[V],rpm1,rpm2,rpm3,rpm4
42560,3.61,0,19065,18404,19474
32944,3.716,0,16017,0,15531
28802,3.753,0,14940,14534,14573
25700,3.779,0,13739,0,13596
31777,3.705,0,15625,0,15228
42296,3.547,0,18668,0,18012
34749,3.647,0,16406,0,15852
47202,3.457,0,19966,0,20547
54015,3.304,0,21559,0,22404
27948,3.679,0,14218,0,14120
44310,3.473,0,18999,0,19575
49369,3.378,0,20325,0,20942
43454,3.468,0,18621,0,19059
40285,3.504,0,17704,8592,17133
63818,3.008,0,23603,0,24311
44598,3.441,0,18867,1050,19417
58908,3.182,0,22658,0,23410
31187,3.605,0,14869,0,14691
45271,3.441,0,19005,0,19595
37839,3.531,0,16925,0,16388
42591,3.473,0,18242,0,18820
36683,3.547,0,16671,1649,16326
54082,3.278,0,21497,0,22246
42990,3.457,0,18226,10099,18856
65302,3.045,0,23942,0,24824
20421,3.673,0,11430,11173,11104
44457,3.425,0,18820,0,18115
23404,3.658,0,12474,12335,12391
26521,3.636,0,13504,13268,13464
25595,3.647,0,13212,13012,13063
60771,3.146,0,23237,0,23866
23010,3.652,0,12282,12167,12205
38010,3.51,0,16769,16741,16769
61781,3.114,0,23492,0,24009
51711,3.299,0,20661,2171,21359
36386,3.499,0,16420,16081,15987
